"Metric","Regime_1","Regime_2"
"Transition Probability (P_ii)",0.996379885876832,0.996532309435727
"Expected Duration (Days)",276.234385430038,288.376365037525
"Unconditional Probability",0.489247477490083,0.510752522509917
