"Regimes","Vol_Model","Distribution","AIC","BIC"
1,"sGARCH","norm",15949.589068931,15969.9245087885
1,"gjrGARCH","norm",15767.8369670745,15794.9508868845
1,"sGARCH","sstd",15678.5984279025,15712.4908276651
1,"gjrGARCH","sstd",15538.5764383516,15579.2473180667
2,"sGARCH","norm",15795.1850084321,15849.4128480521
2,"gjrGARCH","norm",15637.5295976345,15705.3143971596
2,"sGARCH","sstd",15658.9791158347,15740.3208752648
2,"gjrGARCH","sstd",15509.7915561418,15604.6902754769
