Date,Strategy 1,Strategy 2,Strategy 3,SPY_BuyHold,Bench_60_40
2006-01-05,0.0031121187373428505,0.00497241854064745,0.0031121187373428505,0.002285993319384394,0.0028570896961749082
2006-01-06,0.0018024548928479156,0.0008717328689038517,0.0018024548928479156,0.0068423612280756885,0.0036264014910367677
2006-01-09,0.0048348097983168525,0.004499155896434903,0.0048348097983168525,0.0031246356449883272,0.0015693698750133488
2006-01-10,6.259782584217e-05,0.0030036427685815603,6.259782584217e-05,-0.0002335678398622809,-0.0004451560929310761
2006-01-11,-0.0009055497106293942,-0.0014731001559586954,-0.0009055497106293942,0.004906559748300676,0.0012851883140002403
2006-01-12,0.0025448424105753986,0.003363089398061847,0.0025448424105753986,0.00046510895202156455,-0.0002471309488347284
2006-01-13,-0.009785749892308848,0.00022578054683708437,-0.009785749892308848,-0.003950679155713677,-0.0003513191966215022
2006-01-17,0.01728515338890335,0.010728516300951618,0.01728515338890335,-0.00287766310451254,6.414049433491899e-05
2006-01-18,-0.006757720294312652,-0.0058765401424479835,-0.006757720294312652,-0.004836353860429132,0.00040261793036331425
2006-01-19,0.0041699243029700295,0.0009314697643660885,0.0041699243029700295,0.004310899794834011,-0.0003887630104071342
2006-01-20,0.012455464698482466,0.012561808733396074,0.012455464698482466,0.001170639492874992,0.0017883033684513716
2006-01-23,-0.008434410550984928,-0.010851120475874554,-0.008434410550984928,-0.016136688291765844,-0.011935051964291987
2006-01-24,-0.004086293237023142,-0.0010507921332332248,-0.004086293237023142,0.0033275083397661387,0.0028678928205081444
2006-01-25,0.005489544824123005,0.004151112701953563,0.005489544824123005,0.003238421189086793,-0.00018729622301036928
2006-01-26,-0.00863580922484286,-0.009897334949495629,-0.00863580922484286,0.0016523479628285376,-0.00320464682882573
2006-01-27,0.004658861921218227,0.006137557478346434,0.004658861921218227,0.003222181361991039,0.003037671010786669
2006-01-30,0.0069039783670259425,0.005286263623293985,0.0069039783670259425,0.006110169311033031,0.0014632396177533197
2006-01-31,0.003777148578941958,-0.0005390432768553888,0.003777148578941958,-0.0009342783548614841,-0.0003391307508804563
2006-02-01,-0.0004838024218742909,0.002128183695942587,-0.0004838024218742909,-0.003896253397263627,-0.0018051386860721275
2006-02-02,-0.004755028953520646,-0.0024936814985390132,-0.004755028953520646,0.0021903719365394814,0.0008263332855692696
2006-02-03,-0.007753559395262455,-0.005593649833132042,-0.007753559395262455,-0.011865703433544206,-0.007297536786327385
2006-02-06,-0.0037874256505139314,-0.00099022664021009,-0.0037874256505139314,-0.0011061030737568034,0.0036925084242679825
2006-02-07,-0.002493739137306772,-0.004202527819518798,-0.002493739137306772,-0.00047460481219363526,0.0003303043186565936
2006-02-08,-0.01583865671902307,-0.01118092541955873,-0.01583865671902307,-0.004193575902836977,-0.003569589180167365
2006-02-09,0.009259860854370361,0.008829923121669303,0.009259860854370361,0.008502359108997215,0.0018446441281833258
2006-02-10,-0.00642491476138507,-0.00467369838168763,-0.00642491476138507,-0.003861058966088904,0.0023869303892261723
2006-02-13,-0.0056174185235134955,-0.005788981806469917,-0.0056174185235134955,0.001344981142700874,-0.0034038791394706887
2006-02-14,-0.003783692727920007,-0.0027761202205353053,-0.003783692727920007,-0.0011059000473331304,-0.002170204431490297
2006-02-15,0.006136489312222215,0.0034265984226178325,0.006136489312222215,0.009647387066185509,0.0068562945276744005
2006-02-16,-0.0031011776715201833,-0.00035843868505036625,-0.0031011776715201833,0.005168994553722106,0.0033676648993507196
2006-02-17,0.01963461448156356,0.013129269451542358,0.01963461448156356,0.005531889534979406,0.005979834047231148
2006-02-21,0.0026993502116559043,0.0025353150431419724,0.0026993502116559043,0.00046511532194903893,0.0007197772988609685
2006-02-22,-0.0019985445283694503,-0.0024447745331453996,-0.0019985445283694503,-0.002633242542986247,-0.0006124378204330315
2006-02-23,0.0001120245509196316,0.002091392029929695,0.0001120245509196316,0.003882864057266344,0.003163961687233874
2006-02-24,0.009142999157063514,0.0031538376080677555,0.009142999157063514,-0.0012380044556188352,-0.00017313924664525966
2006-02-27,-0.006423189982851407,-0.001790795650081889,-0.006423189982851407,0.002246322095630804,0.0009539796879356021
2006-02-28,0.00030385408041144757,-7.789938904878557e-05,0.00030385408041144757,-0.0015457399230112134,-0.0024602482246346203
2006-03-01,-0.0029890595756710825,-0.0019229442342475478,-0.0029890595756710825,-0.004644032911064189,-0.0023944503922393333
2006-03-02,0.001672066145958162,-0.00027510281213460885,0.001672066145958162,0.0023330038721289803,-0.0017290243425601484
2006-03-03,0.0024514618636923835,-0.0008676962990925574,0.0024514618636923835,-0.0017842654304247585,-0.0036467594537546778
2006-03-06,0.0014467006168494834,-0.00034040858121031636,0.0014467006168494834,0.0036529083102203597,-4.3097815797965826e-05
2006-03-07,-0.018858326057579533,-0.013449422944542877,-0.018858326057579533,-0.009912227805262908,-0.008554827158612065
2006-03-08,-0.007311996231572193,-0.0045895199136807285,-0.007311996231572193,-0.001250910099361957,1.867383199833934e-05
2006-03-09,0.007065668640800604,0.00589609587997364,0.007065668640800604,0.00454170972511414,0.0026798567423041765
2006-03-10,-0.012644306257133753,-0.010156396773012166,-0.012644306257133753,-0.004443431000729414,-0.0037502124936438673
2006-03-13,0.011578062080793039,0.008358504753643858,0.011578062080793039,0.008848408413807851,0.004493949934700225
2006-03-14,0.0029962171149220396,0.0009262517360699718,0.0029962171149220396,-0.0010096861774884225,0.0008008469533818286
2006-03-15,0.012278430471666324,0.010172558509496277,0.012278430471666324,0.011188498882308107,0.00666792979297779
2006-03-16,0.005425260421558331,0.0023069358208942514,0.005425260421558331,0.006607735613325616,0.004281266213746803
