,ret_asx
1,-2.454151084565659
2,-0.6447314571202512
3,0.8003049244168281
4,1.9845462068756703
5,2.459771986198689
6,-2.3172049730884936
7,-0.30807672124471
8,1.178516494433346
9,0.1956131955589413
10,0.20801671634025354
11,-1.5301901210575508
12,1.0334340318337354
13,-1.2641852926394748
14,-0.12045878164101964
15,-0.6864566814561712
16,0.08852154597533968
17,0.4316617334628958
18,0.5077427062127882
19,-0.2568031429584394
20,1.2292717599855507
21,1.0267607840805937
22,-0.7570575432561455
23,0.581878731044938
24,-0.07334145868096442
25,0.48690699067854837
26,1.3371000130341315
27,-0.7862170071875951
28,-1.4341639455958344
29,0.9594494719765478
30,-0.06029627165062834
31,-0.3051837818219383
32,-0.8280542442404837
33,0.0
34,-0.57631166529859
35,0.1323017760187284
36,-0.04838163375140425
37,0.3735385751355125
38,-0.14474342965709042
39,0.5745252381140986
40,1.9836466838407674
41,1.0176487902940679
42,0.3967536212373446
43,-0.5770529888065923
44,0.5739564348555604
45,-0.7639344657716762
46,-0.6222726078190632
47,0.04077113625449158
48,-0.10666792674136616
49,-0.22625002070544298
50,-0.5995221886266222
51,0.38221945470358065
52,0.8976506003252283
53,1.1587414618187353
54,0.3422526321283925
55,0.8459516433809711
56,-0.8459516433809711
57,0.08307159075311432
58,-0.7284687587352678
59,0.0712298966426772
60,-0.1332088896251804
61,-0.9906562229410554
62,-1.9218610743482856
63,1.8247569459107993
64,-0.44599310909791967
65,-0.6759176312840509
66,0.05386757555996269
67,0.7856014267709099
68,0.6078253710631643
69,-0.8910671025169847
70,-0.768785886703327
71,-1.5684336871929716
72,0.3928123880108103
73,-5.549824101619016
74,2.230455806270726
75,1.9377167623581215
76,1.5550332795866595
77,-0.35349351763755976
78,0.3053633735534689
79,-0.4438892012979423
80,0.9337346946749037
81,-0.7565867298367834
82,-1.7431811646154927
83,1.7335250643785827
84,-0.032188496615503936
85,-0.6491908967344528
86,-1.3932910050861835
87,-1.5563743915601336
88,1.2734005070790033
89,0.535667277208951
90,1.2409928563620554
91,-0.4672267533958774
92,-0.9771846544913032
93,-0.1906576740426047
94,-1.2182773228015975
